countries,population
,
Honduras,"9,904,607"
United Arab Emirates,"9,890,402"
Djibouti,"988,000"
Saint Barthelemy,"9,877"
Seychelles,"98,347"
Antigua and Barbuda,"97,929"
Vietnam,"97,338,579"
Hungary,"9,660,351"
Tajikistan,"9,537,645"
Belarus,"9,449,323"
Austria,"9,006,398"
Fiji,"896,445"
DR Congo,"89,561,403"
Réunion,"895,312"
Papua New Guinea,"8,947,024"
Serbia,"8,737,371"
Comoros,"869,601"
Israel,"8,655,535"
Switzerland,"8,654,622"
Isle of Man,"85,033"
Turkey,"84,339,067"
Iran,"83,992,949"
Germany,"83,783,942"
Togo,"8,278,724"
Holy See,801
Sierra Leone,"7,976,983"
Guyana,"786,552"
Andorra,"77,265"
Bhutan,"771,608"
Hong Kong,"7,496,981"
Laos,"7,275,560"
Dominica,"71,986"
Paraguay,"7,132,538"
Thailand,"69,799,978"
Bulgaria,"6,948,445"
Libya,"6,871,292"
Solomon Islands,"686,884"
Lebanon,"6,825,445"
United Kingdom,"67,886,011"
Nicaragua,"6,624,554"
Cayman Islands,"65,722"
France,"65,273,511"
Kyrgyzstan,"6,524,195"
Macao,"649,335"
El Salvador,"6,486,205"
Montenegro,"628,066"
Luxembourg,"625,978"
Bermuda,"62,278"
Saint Helena,"6,077"
Italy,"60,461,826"
Turkmenistan,"6,031,200"
Tanzania,"59,734,218"
Western Sahara,"597,339"
South Africa,"59,308,690"
Marshall Islands,"59,190"
Suriname,"586,632"
Singapore,"5,850,342"
Saint Pierre & Miquelon,"5,794"
Denmark,"5,792,202"
Northern Mariana Islands,"57,559"
Greenland,"56,770"
Cabo Verde,"555,987"
Finland,"5,540,720"
American Samoa,"55,191"
Congo,"5,518,087"
Micronesia,"548,914"
Slovakia,"5,459,642"
Myanmar,"54,409,800"
Norway,"5,421,241"
Maldives,"540,544"
Kenya,"53,771,296"
Saint Kitts & Nevis,"53,199"
South Korea,"51,269,185"
Oman,"5,106,626"
State of Palestine,"5,101,414"
Costa Rica,"5,094,118"
Colombia,"50,882,891"
Liberia,"5,057,681"
Montserrat,"4,992"
Ireland,"4,937,786"
Faeroe Islands,"48,863"
Central African Republic,"4,829,767"
New Zealand,"4,822,233"
Spain,"46,754,778"
Mauritania,"4,649,658"
Uganda,"45,741,007"
Argentina,"45,195,774"
Malta,"441,543"
Algeria,"43,851,044"
Sudan,"43,849,260"
Brunei ,"437,479"
Ukraine,"43,733,762"
Panama,"4,314,767"
Sint Maarten,"42,876"
Kuwait,"4,270,571"
Croatia,"4,105,267"
Moldova,"4,033,963"
Iraq,"40,222,493"
Guadeloupe,"400,124"
Georgia,"3,989,167"
Belize,"397,628"
Bahamas,"393,244"
Monaco,"39,242"
Afghanistan,"38,928,346"
Turks and Caicos,"38,717"
Saint Martin,"38,666"
Liechtenstein,"38,128"
Poland,"37,846,611"
Canada,"37,742,154"
Martinique,"375,265"
Morocco,"36,910,560"
Eritrea,"3,546,421"
Saudi Arabia,"34,813,871"
Falkland Islands,"3,480"
Uruguay,"3,473,730"
Iceland,"341,243"
San Marino,"33,931"
Gibraltar,"33,691"
Uzbekistan,"33,469,203"
United States,"331,002,651"
Peru,"32,971,854"
Angola,"32,866,272"
Bosnia and Herzegovina,"3,280,819"
Mongolia,"3,278,290"
Malaysia,"32,365,999"
Mozambique,"31,255,435"
Ghana,"31,072,940"
Vanuatu,"307,145"
British Virgin Islands,"30,231"
French Guiana,"298,682"
Yemen,"29,825,964"
Armenia,"2,963,243"
Jamaica,"2,961,167"
Nepal,"29,136,808"
Qatar,"2,881,053"
Albania,"2,877,797"
Barbados,"287,375"
Puerto Rico,"2,860,853"
New Caledonia,"285,498"
Venezuela,"28,435,940"
French Polynesia,"280,908"
Madagascar,"27,691,018"
Indonesia,"273,523,615"
Mayotte,"272,815"
Lithuania,"2,722,289"
Cameroon,"26,545,863"
Côte d'Ivoire,"26,378,274"
Caribbean Netherlands,"26,223"
North Korea,"25,778,816"
Australia,"25,499,884"
Namibia,"2,540,905"
Niger,"24,206,644"
Gambia,"2,416,668"
Taiwan,"23,816,775"
Botswana,"2,351,627"
Gabon,"2,225,734"
Pakistan,"220,892,340"
Sao Tome & Principe,"219,159"
Lesotho,"2,142,249"
Sri Lanka,"21,413,249"
Brazil,"212,559,417"
Burkina Faso,"20,903,273"
North Macedonia,"2,083,374"
Slovenia,"2,078,938"
Nigeria,"206,139,589"
Mali,"20,250,833"
Samoa,"198,414"
Guinea-Bissau,"1,968,001"
Romania,"19,237,691"
Malawi,"19,129,952"
Chile,"19,116,201"
Latvia,"1,886,198"
Kazakhstan,"18,776,707"
Zambia,"18,383,955"
Saint Lucia,"183,627"
Palau,"18,094"
Guatemala,"17,915,568"
Ecuador,"17,643,054"
Cook Islands,"17,564"
Syria,"17,500,658"
Channel Islands,"173,863"
Netherlands,"17,134,872"
Bahrain,"1,701,575"
Guam,"168,775"
Senegal,"16,743,927"
Cambodia,"16,718,965"
Bangladesh,"164,689,383"
Chad,"16,425,864"
Curaçao,"164,093"
Niue,"1,626"
Somalia,"15,893,222"
Anguilla,"15,003"
Zimbabwe,"14,862,924"
Russia,"145,934,462"
China,"1,439,323,776"
Equatorial Guinea,"1,402,985"
Trinidad and Tobago,"1,399,488"
Tokelau,"1,357"
Estonia,"1,326,535"
Timor-Leste,"1,318,445"
Guinea,"13,132,795"
Rwanda,"12,952,218"
Mexico,"128,932,753"
Mauritius,"1,271,768"
Japan,"126,476,461"
Benin,"12,123,200"
Cyprus,"1,207,359"
Kiribati,"119,449"
Burundi,"11,890,784"
Tunisia,"11,818,619"
Tuvalu,"11,792"
Bolivia,"11,673,021"
Eswatini,"1,160,164"
Belgium,"11,589,623"
Ethiopia,"114,963,588"
Haiti,"11,402,528"
Cuba,"11,326,616"
Grenada,"112,523"
Wallis & Futuna,"11,239"
South Sudan,"11,193,725"
St. Vincent & Grenadines,"110,940"
Philippines,"109,581,078"
Dominican Republic,"10,847,910"
Nauru,"10,824"
Czech Republic (Czechia),"10,708,981"
Aruba,"106,766"
Tonga,"105,695"
U.S. Virgin Islands,"104,425"
Greece,"10,423,054"
Egypt,"102,334,404"
Jordan,"10,203,134"
Portugal,"10,196,709"
Azerbaijan,"10,139,177"
Sweden,"10,099,265"
India,0
